,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
10,53934470,yarn local mirror creates invalid file name when git repository is at server root,"do you want to request a *feature* or report a *bug*?
bug

what is the current behavior?

my project's local `.yarnrc` is configured with this setting:


in my `package.json` i have a reference to the following internal package:


notice that git repository is at the root of the server, rather than being a subfolder as with github repositories: `git@github.com:itsananderson/some-repo.git`

unfortunately, with the way yarn parses the git url to generate the cache name, it generates this:

i believe that's due to this code: https://github.com/yarnpkg/yarn/blob/5e1eee74f18b7f229e8accb49e7ba9ac9c4655bf/src/fetchers/git-fetcher.js#l40

when a url like `git+ssh://git@git.corp.net:private_package.git` is parsed, the `pathname` property is set to `:private_package.git`. one potential fix for this would be to simply trim the colon from the beginning.

if the current behavior is a bug, please provide the steps to reproduce.

i tried to create a github demo of this issue, but since the issue only appears for repositories where the git repo name is at the root of the server, the issue can't be reproduced with github repositories.

here are the steps i used to create a minimal repro by creating a local `--bare` git clone and adding it as `git+ssh//$user@localhost:node-extend.git`. i used `node-extend` because it's a simple module with no dependencies that can be installed from its git repository.


note that you may need to authorize your own ssh key to log into your machine. this should work for a typical setup:


hopefully that's enough detail to make the repro easy, but let me know if you need more.

what is the expected behavior?

the cache file should be created without a colon in the name. this is an important bug, because colons aren't valid characters in windows file names.

please mention your node.js, yarn and operating system version.

macos 10.12.6
node v6.11.1
yarn 0.27.5
",0,5,0,0,14,292,13.83,0,2,24,1,36831,1,git repository colon github yarn create private_package.git repro cache root,git repository colon github yarn create private_package.git repro cache root behavior bug parse generate local server url issue v6.11.1 typical
11,42958397,no-extra-boolean-cast autofixer handles some boolean() calls incorrectly,"
tell us about your environment

* eslint version: master
* node version: 7.4.0
* npm version: 4.0.5

what parser (default, babel-eslint, etc.) are you using?

default

please show your full configuration:


what did you do? please include the actual source code causing the issue.

i ran `eslint thefile.js --fix` on three different files:




what did you expect to happen?

i expected the syntax of the files to be valid after autofixing

what actually happened? please include the actual, raw output from eslint.

in the first two files, the code was autofixed to



an error was thrown when running the command on the third file:


the first autofixed line is a syntax error, and the second autofixed line changes the behavior of the code (it no longer calls `bar()`).

to fix this, i think we need to avoid doing an autofix for `no-extra-boolean-cast` in the following cases:

* `boolean` is called with more than one argument
* `boolean` is called with a spread element as the first argument
* `boolean` is called with no arguments. (alternatively, we could just fix `!boolean()` to `true`.)
",0,7,2,0,7,176,12.2,87,2,49,0,14910,1,boolean autofixed eslint argument call file syntax code happen thefile.js,boolean autofixed eslint argument call file syntax code happen thefile.js spread no-extra-boolean-cast autofixing autofix 7.4.0 alternatively 4.0.5 version default actual
12,29090193,'tp' command to print type,"e.g. we have some type like this:


and it was loaded already in types database, so we can apply it to the any address, without saving the link between them:


",0,2,0,0,5,30,7.67,3,1,28,12,10992,0,type database apply save load e.g link address,type database apply save load e.g link address
13,20872085,named offsets loose their name after reloading a project,"after reloading a saved project all named offsets are like this: mov [rbp-int], <val>
before reloading they appeared correctly in this way: mov [rbp-local_2], <val>

",0,0,0,0,9,25,12.71,10,1,5,5,10992,0,val mov reload rbp-local_2 rbp-int offset save project correctly,val mov reload rbp-local_2 rbp-int offset save project correctly
14,24466762,kinto init should install postgresql dependencies,"
",0,0,0,0,6,0,-15.81,61,1,12,0,3811,0,,
15,8052611,deprecation warning with ipython 2.0,"using sympy 0.7.5 with current ipython 2.0.0beta1:


it probably comes from this changes merged 12 days ago:

https://github.com/ipython/ipython/pull/5188/files#diff-6dc3d99d995b6a34e60c2ac16d3a422cr54

",0,1,0,0,5,18,37.52,258,1,2,1,6199,1,diff-6dc3d99d995b6a34e60c2ac16d3a422cr54 2.0.0beta1 0.7.5 //github.com/ipython/ipython/pull/5188/files ipython sympy ago 12 day merge,diff-6dc3d99d995b6a34e60c2ac16d3a422cr54 2.0.0beta1 0.7.5 //github.com/ipython/ipython/pull/5188/files ipython sympy ago 12 day merge current change http
16,25456829,add `uname` command,"
",0,0,0,0,3,0,-15.81,0,2,34,0,10992,0,,
17,33652003,clean up tests in prep for react@15.2.0,"
i don't _think_ this will have any implications on the api of this library. it only would if someone did something like this:


because we pass the props through, but at that point, that's their fault and issue to fix. 

but internally, we do that a lot with our tests (see screenshot below). so effectively we need to update our tests to not put arbitrary props on dom nodes. 

this can be tested currently by installing `react@15.2.0-rc.1`


",2,1,0,0,7,77,9.29,3,2,45,22,17916,1,prop test _think_ 15.2.0-rc.1 effectively arbitrary internally implication fault dom,prop test _think_ 15.2.0-rc.1 effectively arbitrary internally implication fault dom screenshot library react lot instal api node pass update issue
18,60595983,node 9 loses error call site information in buffer.concat,"* version: node 9.1.0 
* platform: darwin



this results in an error.  using node 8.9.1, the error message clearly indicates that the problem is in the source:


in node 9.1.0, the error message appears to come from the core:

",0,3,1,0,9,37,10.92,61,1,6,6,64262,1,9.1.0 node error 8.9.1 message darwin core source platform result,9.1.0 node error 8.9.1 message darwin core source platform result version
19,155992,upgrade-2.1.md is missing the switch from symfony's doctrinebundle to doctrine's,"one of the steps involved in upgrading symfony from 2.0 to 2.1 is that the namespace of the doctrinebundle needs to be changed in the appkernel.php


should become


this information seems to be missing in the upgrade guide

",0,2,0,0,10,38,11.85,,1,8,0,21632,0,upgrade namespace doctrinebundle appkernel.php symfony 2.1 2.0 involve guide step,upgrade namespace doctrinebundle appkernel.php symfony 2.1 2.0 involve guide step change
20,20824680,"on filesystems which do not support birthtime, stats.birthtime can be greater than stats.mtime","stats.birthtime tracks ctime on filesystems which do not support birthtime, even if stats.ctime > stats.mtime or stats.ctime > stats.atime.

it would be better in this case if stats.birthtime be set to the earliest of all available timestamps.

here is a test to reproduce, which should pass on os x and fail on ubuntu:


",0,1,0,0,13,51,13.07,0,1,5,4,64262,0,stats.ctime stats.birthtime timestamps stats.mtime stats.atime filesystems ctime birthtime ubuntu track,stats.ctime stats.birthtime timestamps stats.mtime stats.atime filesystems ctime birthtime ubuntu track pass fail support set reproduce test
21,54194628,afvn without arguments should list all the names of the vars available,"
",0,0,0,0,12,0,-15.81,19,2,29,21,10992,0,,
22,54835315,pausing/playing via multimedia keyboard buttons while typing in search input loses the focus of that input,"os:
win10

issue descriptions:

when i am in the search field and suddenly feel like pausing a song, the field loses focus.

steps to reproduce:

 enter search field while music is playing
 hit play/pause on the multimedia keyboard
 focus is lost from search field
",0,0,0,0,16,44,12.61,0,1,1,1,7971,1,field lose search focus win10 play/pause multimedia song suddenly pause,field lose search focus win10 play/pause multimedia song suddenly pause music hit keyboard play enter feel step description reproduce issue
23,54046619,fix python warnings (occur during testing),"need to fix warnings from interpreter (during test run).
it's easy to see all:
`python -wd -b` for python3

",0,1,0,0,6,19,6.29,0,4,11,9,9830,0,python3 -wd -b interpreter python easy warning test,python3 -wd -b interpreter python easy warning test
24,23379360,update node.(other) docs,"
we should reflect this in the docs as a i've seen a few people ask about this just recently.

",1,0,0,0,3,19,5.63,0,1,268,29,44138,0,reflect people doc,reflect people doc
25,29438060,remove deprecated <a-cube> primitive,"description: since replaced by `<a-box>`
 a-frame version: master

",0,0,0,0,4,8,18.05,346,4,0,109,10451,0,a-box a-frame replace master description version,a-box a-frame replace master description version
26,1353687,epsg 4326 support broken for tilelayers,"map's created with crs: l.crs.epsg4326 appear to be broken.  http://jsfiddle.net/hueba/3/ shows the issue.  the map only displays the western hemisphere of the earth and the marker is incorrectly positioned.

epsg4326 l.tilelayer.wms layers seem to work fine though.


",0,0,1,0,6,37,17.01,,4,9,5,25710,0,western l.tilelayer.wms l.crs.epsg4326 epsg4326 cr //jsfiddle.net/hueba/3/ map hemisphere earth marker,western l.tilelayer.wms l.crs.epsg4326 epsg4326 cr //jsfiddle.net/hueba/3/ map hemisphere earth marker incorrectly position break fine layer display create issue http
27,12869132,ipython notebook examples are not working. ,"when i try to run the plotting examples from the command line with 

`/sympy/examples/beginner/plot_advanced.ipynb in <module>()`
`16      ""cell_type"": ""code"",`
`18      ""input"": [`
",0,4,0,0,6,21,17.52,306,1,7,0,6199,1,`` plotting cell_type /sympy/examples/beginner/plot_advanced.ipynb 18 16 input module command code,`` plotting cell_type /sympy/examples/beginner/plot_advanced.ipynb 18 16 input module command code
28,8425807,change no-spaced-func message,"the warning message for `no-spaced-func` is really hard to understand:

""spaced function application is not allowed.""

we should change it to something a bit more useful:

""unexpected space between function name and paren.""

",0,0,0,0,3,33,15.68,0,2,12,12,14910,1,space `` paren no-spaced-func understand function unexpected application hard bit,space `` paren no-spaced-func understand function unexpected application hard bit warning message change
29,41752078,"references to an ""keepalive"" flag in the http.agent constructor, when it is actually ""keepalive""","
* version:
* platform:
* subsystem:

in the version 7.3.0 documentation, in the page on http, in the first few paragraphs of the http.agent section it makes references to a `keepalive` flag in the `http.agent` constructor which you can specify as true if you'd like to keep unused sockets pooled.  admittedly this caused me a decent amount of confusion because of the case mismatch :)
",0,0,2,0,14,61,12.49,0,,,,64262,1,http.agent keepalive decent admittedly unused pool mismatch 7.3.0 confusion socket,http.agent keepalive decent admittedly unused pool mismatch 7.3.0 confusion socket paragraph amount constructor flag version reference subsystem platform documentation true
30,6327995,custom controls - user is unable to scroll/zoom page if touching the video,"hi guys,

i just have found one issue which is serious for my project. if i have enabled custom controls on mobile then i am not able to scroll/zoom the page if i am touching the video (tested on ios and android).

i found that issue is probably preventdefault which is called at touchstart event here: 
https://github.com/videojs/video.js/blob/master/src/js/media/media.js#l84.

could this be fixed or could you help me how can i workaround this?

thanks,
fero

",0,0,0,0,12,73,12.78,0,2,6,2,26060,0,touchstart scroll/zoom preventdefault l84 fero //github.com/videojs/video.js/blob/master/src/js/media/media.js guy mobile workaround video,touchstart scroll/zoom preventdefault l84 fero //github.com/videojs/video.js/blob/master/src/js/media/media.js guy mobile workaround video touch io issue android project enable custom control event call
31,64151080,stored script related docs of java api are outdated,"originally reported in #28114:

putindexedscriptresponse, getindexedscriptresponse, and deleteindexedscriptresponse are outdated in https://www.elastic.co/guide/en/elasticsearch/client/java-api/master/indexed-scripts.html

putindexedscriptresponse = client.prepareputindexedscript()...

getindexedscriptresponse = client.preparegetindexedscript()...

deleteindexedscriptresponse = client.preparedeleteindexedscript()...

these are leftovers from #17650 and  all  `*indexedscript*` should be replaced by `*storedscript*` if i understood the change correctly (e.g. `putindexedscriptresponse` -> `putstoredscriptresponse`, `client.prepareputindexedscript()` -> `client.prepareputstoredscript()`).

@martijnvg i hope it's ok i'm assigning it to you as you did the change and might remember best.
",0,0,0,0,9,61,45.78,0,4,30,38,44138,1,putindexedscriptresponse getindexedscriptresponse deleteindexedscriptresponse client.prepareputindexedscript putstoredscriptresponse martijnvg client.prepareputstoredscript client.preparegetindexedscript client.preparedeleteindexedscript 17650,putindexedscriptresponse getindexedscriptresponse deleteindexedscriptresponse client.prepareputindexedscript putstoredscriptresponse martijnvg client.prepareputstoredscript client.preparegetindexedscript client.preparedeleteindexedscript 17650 //www.elastic.co/guide/en/elasticsearch/client/java-api/master/indexed-scripts.html *storedscript* *indexedscript* leftover 28114 outdated remember originally change understand
32,45689557,ve doesnt works on small terminals,"
",0,0,0,0,6,0,-15.81,6,1,1,1,10992,0,,
33,55430939,message view: remove dates from date separators.,"now that we include the date in the recipient bar, we no longer need the dates in these date separators. 
the separators look like this:

",1,0,0,0,7,25,8.77,,1,1,1,10409,0,separator recipient bar,separator recipient bar
34,2028639,typo in the german translation of the yii guide (unit testing),"link: http://www.yiiframework.com/doc/guide/1.1/de/test.unit

in the second code sample `$post = $this->post('sample1');` has to be `$post = $this->posts('sample1');`

",0,0,0,0,11,14,30.62,,1,1,1,4862,0,post 'sample1 this- //www.yiiframework.com/doc/guide/1.1/de/test.unit sample link code http,post 'sample1 this- //www.yiiframework.com/doc/guide/1.1/de/test.unit sample link code http
35,56262496,add rounding support for rtl languages to genericdraweeview,"can we add rounding support for rtl languages to genericdraweeview?

need to add:

android studio already recommends using start/end instead of left/right in support of rtl languages (e.g., android:paddingleft -> android:paddingstart)

i would be happy to help contribute too.

thanks,
adam

",0,1,0,0,8,40,18.4,20,7,78,2,15832,1,rtl android language start/end paddingstart paddingleft left/right genericdraweeview adam support,rtl android language start/end paddingstart paddingleft left/right genericdraweeview adam support studio round recommend contribute happy add e.g
36,15408310,create require-jsdoc rule,"i would like to have a `requirejsdoc` option for valid-jsdoc. could be `false` by default but would be nice to enforce jsdoc at all and then of course the correct jsdoc. 
<bountysource-plugin>

</bountysource-plugin>

",1,0,0,0,3,33,12.82,0,45,811,8,14910,0,jsdoc valid-jsdoc requirejsdoc enforce bountysource-plugin /bountysource-plugin false correct nice option,jsdoc valid-jsdoc requirejsdoc enforce bountysource-plugin /bountysource-plugin false correct nice option default
37,24890319,bug when removing a comment in visual mode,"see the asciinema: http://radare.tv/a/121
 for the binary http://rghost.net/private/7bkfqmt6b/c4e729badf1b540d8bf05b6146ba1755
just aar -> s str.david_mackenzie -> vp -> "";"" -> ""lol""\n -> "";"" ->  ""-"" -> wtf

",0,0,0,0,8,15,37.05,0,1,19,12,10992,0,`` wtf vp str.david_mackenzie lol aar //rghost.net/private/7bkfqmt6b/c4e729badf1b540d8bf05b6146ba1755 //radare.tv/a/121 asciinema \n,`` wtf vp str.david_mackenzie lol aar //rghost.net/private/7bkfqmt6b/c4e729badf1b540d8bf05b6146ba1755 //radare.tv/a/121 asciinema \n binary http
38,56075556,creating float explicitly from numpy types can fail,"11666 improved various `s(<numpy thing>)` but `float(<numpy thing>)` still gives errors like `typeerror: cannot create mpf from...`

examples:

",0,1,0,0,8,18,17.57,0,2,25,14,6199,1,numpy mpf 11666 float typeerror improve create error,numpy mpf 11666 float typeerror improve create error
39,2038308,request membership button is wonky,"see screenshot:


",1,0,0,0,5,2,15.8,,,,,1863,1,screenshot,screenshot
40,1606920,error in plural rules handling if language don't have a plural rules for numerals,"i have found error in case when i18n locale file don't have the 'pluralrules' element. in this case handler will return a full string with plural rules and cases. true for ko, zh, vn and more languages, which don't have the plural rules for numerals.

i suggest that change code in file clocale.php from:


to


this will fix issue.

",0,2,0,0,14,59,8.88,,2,2,1,4862,0,plural rule zh vn numeral ko i18n clocale.php 'pluralrules locale,plural rule zh vn numeral ko i18n clocale.php 'pluralrules locale language file handler element string true return change error issue
41,42892255,add pd subcommand to disassemble a class,"this is, all the class info on top with attribuets ,inheritance, etc, and then all the methods below
",0,0,0,0,7,18,8.18,4,1,70,5,10992,0,inheritance attribuets top info class method,inheritance attribuets top info class method
42,45377568,gensim error when loading fasttext,"hello,


i simply executed `model = fasttext.load_fasttext_format('/users/smidj/repositories/snippetbot/data/fasttext/wiki.en/wiki.en')`

i got an error:

i use mac os sierra, python 3.6 (in virtaulenv), and gensim version 1.0.1.

thanks,
jakub
",1,1,0,0,5,25,28.02,30,4,44,14,9830,1,virtaulenv jakub fasttext.load_fasttext_format 3.6 1.0.1. '/users/smidj/repositories/snippetbot/data/fasttext/wiki.en/wiki.en sierra gensim os model,virtaulenv jakub fasttext.load_fasttext_format 3.6 1.0.1. '/users/smidj/repositories/snippetbot/data/fasttext/wiki.en/wiki.en sierra gensim os model mac execute simply python error version
43,49122616,crypto docs don't explain the function signatures,"i just spent about an hour bashing my head against the wall because the documentation for `crypto.publicencrypt` & co. don't explain that they *return a new `buffer` with the encrypted data* instead of encrypting the passed-in `buffer` *in place*.

yes, in hindsight, this should have been obvious, but i don't get why *these* functions don't explain their return values when so much of the *rest* of core *does*.
",0,0,0,0,7,67,11.63,19,1,4,0,64262,1,encrypt buffer explain wall place* passed-in hindsight data* crypto.publicencrypt co.,encrypt buffer explain wall place* passed-in hindsight data* crypto.publicencrypt co. *these* *return *rest* *in *does* spend hour obvious head bash
44,34457960,"documentation says ""will be supported in 0.6rc4"" when it is verion 0.8.2 now","http://deeplearning.net/software/theano/library/tensor/basic.html#indexing

",0,0,0,0,13,1,331.6,351,1,5,7,8911,1,//deeplearning.net/software/theano/library/tensor/basic.html http,//deeplearning.net/software/theano/library/tensor/basic.html http
45,23443660,documentation for $ does not say that element(by.css) === $(),"today one of my developers was confused about the use of $(). i sent him a link to the api page and it does not say that:


can you add a paragraph explaining that they are the same?

https://github.com/angular/protractor/blob/2.5.1/lib/element.js#l974

",0,1,0,0,7,38,12.94,29,1,3,0,8337,0,l974 //github.com/angular/protractor/blob/2.5.1/lib/element.js paragraph confuse developer send explain api link add,l974 //github.com/angular/protractor/blob/2.5.1/lib/element.js paragraph confuse developer send explain api link add http
46,59067917,log the ls version on startup,"would be great for troubleshooting purposes to have the ls version reporting via startup log.  currently we get something like:



",0,1,0,0,6,20,14.33,1,1,2,0,10526,1,reporting ls troubleshoot startup purpose log version,reporting ls troubleshoot startup purpose log version
47,24426994,reflines use the same color as arguments,"when the line contains the local variables or arguments and there are some reflines passing by, reflines use the color of the local variables or arguments and not the color of the reflines.

",0,0,0,0,7,33,10.92,7,1,1,1,10992,0,reflines color local variable argument pass,reflines color local variable argument pass
48,21129483,implement `dm=` with output like `s=`,"
",0,0,0,0,6,0,-15.81,10,3,74,0,10992,1,,
49,31961385,"/z must show the strings and adjust the hit size, not just the first byte","
",0,0,0,0,15,0,-15.81,1,1,9,6,10992,0,,
50,43225750,flipping all around,"currently the `behaviour` property on the flip modifier allows for a `flip` value, which will consider the opposite side. do you think popper.js should provide core behaviour for flipping on all sides where the opposite side is secondary, followed by the opposite axis?

_i know this can be done by passing in a custom behaviour array_

for example:


which would result in the flip order becoming...


if you think this belongs in popper.js, i'm more than happy to send a pr to implement it.

",1,2,0,0,3,84,10.93,0,6,78,22,12631,0,flip opposite popper.js behaviour secondary belongs axis array_ modifier _i,flip opposite popper.js behaviour secondary belongs axis array_ modifier _i happy custom send pr implement follow core provide property pass
51,27872432,`generate.js` doc tool produces incomplete json,"the output from


doesn't correspond to its markdown source. for example, `### info` section is missing, both `### execution control` & `### various` sections lack expected `desc` property.

",0,1,0,0,6,24,16.17,194,1,8,0,64262,0,desc execution lack correspond markdown info control source property output,desc execution lack correspond markdown info control source property output expect
52,33276996,update syscall table for ios,"from https://ios-10-stuffs.github.io/syscalls.html


",0,1,0,0,5,2,94.1,1,1,72,0,10992,0,//ios-10-stuffs.github.io/syscalls.html http,//ios-10-stuffs.github.io/syscalls.html http
53,10258893,named chunks ignoring names when requiring modules at runtime,"hey guys, firstly webpack is great.

i am having some trouble with code splitting. i am trying to have 2 named chunks for two routes in my application which are not often visited. mysite.com/settings and mysite.com/access.

here is my webpack.config.coffee


and here is my router.coffee


i am not using the webpack dev-server, instead i am watching simply by using the following cmd-line tool


the problem is that it ignores the names when requiring the files, as you can see the format is '[name]-[chunkhash].js' it generates files with the correct format e.g. settings-2j3nekj2n3ejkn2.js but during development, when i attempt to load the page, the browser complains that '-2j3nekj2n3ejkn2.js' cannot be found, somehow the mapping of the files, ignores the names. if i leave out the names, then it works.

generated files

chrome error

so the question is how can i setup mulitple named chunks correctly (or is there a bug). thanks in advance.

note i have checked out their examples in the docs at https://github.com/webpack/docs/wiki/code-splitting

and i have followed their optimization docs aswell at https://github.com/webpack/docs/wiki/optimization

and i also posted the question on stackoverflow
http://stackoverflow.com/questions/24743114/webpack-multiple-named-chunks-ignoring-names-at-runtime

but i am still stuck

",2,3,0,0,9,188,17.07,0,10,23,16,50951,1,chunk webpack file question generate ignore format doc webpack.config.coffee splitting,chunk webpack file question generate ignore format doc webpack.config.coffee splitting settings-2j3nekj2n3ejkn2.js router.coffee mysite.com/settings mysite.com/access mulitple dev-server cmd-line chunkhash //stackoverflow.com/questions/24743114/webpack-multiple-named-chunks-ignoring-names-at-runtime //github.com/webpack/docs/wiki/optimization
54,18987167,out of bounds heap read in r_num_calc,"this file will trigger an out of bounds read in radare2:
https://crashes.fuzzing-project.org/radare2-script-oob-heap-read-r_num_calc

it just contains the command ""w0"". test: radare2 -q -i [script] /dev/null

address sanitizer trace:


",0,1,0,0,7,27,22.32,11,1,10,8,10992,1,radare2 w0 //crashes.fuzzing-project.org/radare2-script-oob-heap-read-r_num_calc sanitizer /dev/null -q -i trace bound trigger,radare2 w0 //crashes.fuzzing-project.org/radare2-script-oob-heap-read-r_num_calc sanitizer /dev/null -q -i trace bound trigger address `` script read command file test http
55,39036842,dk: king of swing crash on level treacherous twister,"mgba 0.5.1
* windows 8.1 pro 64-bit
* nvidia geforce 610m
* intel core i5-3210m @ 2.5ghz
* 12gb ddr3-12800 ram

""the game has crashed with the following error: jumped to invalid address: e1da19b4""

some weird things to note with this error:
* many of the same window pop-up
* 3ds port just stalls where the error occurs
* just treacherous twister it seems

more info about the level:
http://www.mariowiki.com/treacherous_twister

i used a gameshark save so it should be quite easy to load the level:
http://www.gamefaqs.com/gba/920791-dk-king-of-swing/saves

",0,0,0,0,9,78,17.02,550,2,2,0,1730,0,level error window twister treacherous stall ram jumped i5-3210m geforce,level error window twister treacherous stall ram jumped i5-3210m geforce gameshark e1da19b4 ddr3-12800 610m 2.5ghz 12gb //www.mariowiki.com/treacherous_twister //www.gamefaqs.com/gba/920791-dk-king-of-swing/saves pop-up nvidia
56,17357278,combobox to choose matplotlib backend,"currently the matplotlib backend is set via a qlineedit. since the possible values are a few and well defined, a combobox is more appropriate.

bonus points if only the available backends are shown (but it depends on the active interpreter ?).

",0,0,0,0,5,40,11.55,0,4,34,31,4725,0,qlineedit matplotlib combobox bonus backends active backend depend interpreter define,qlineedit matplotlib combobox bonus backends active backend depend interpreter define set
57,42959089,fix aai percentage issue,"to show the % of code analyzed (considering data and basic blocks ranges) inside the current section (or just .text?)
",0,0,0,0,4,19,10.79,5,1,21,2,10992,0,.text analyze basic range block inside data current code,.text analyze basic range block inside data current code
